ProductName,Rating,Price,OriginalPrice,Discount,Reviews,Features,PageNumber
"IFB 2025 Model 2 Ton 3 Star Split Inverter Silver Plus Series with HD Compressor, AI, Dual Gold Fin, N...",4.2,"₹41,990","₹73,740",43% off,"1,194 Ratings & 115 Reviews","Annual Power Usage: 1252.53 UnitsRoom Size: 151 - 200 sqft1 Year warranty on Product , 5 Years warranty on PCB and 10 Years Warranty on Compressor",2
"Panasonic 2026 Model 1.5 Ton 3 Star Split Inverter with Wi-fi Smart, DustBuster Tech, Matter Enabled, ...",4.1,"₹36,990","₹54,000",31% off,"24,445 Ratings & 2,408 Reviews","Annual Power Usage: 877.74 kWhRoom Size: 111 - 150 sqft1 Year Comprehensive warranty on Product,
5 Years warranty on PCB & 
10 Years warranty on Compressor",2
Voltas 2026 Model 1.5 Ton 3 Star Split Inverter AC,4.2,"₹33,990","₹60,990",44% off,"83,437 Ratings & 7,067 Reviews","Annual Power Usage: 900.94 kWhRoom Size: 111 - 150 sqft1 Year Warranty On Product,10 Years Warranty On Compressor",2
"LG 2025 Model 1.5 Ton 5 Star Split Dual Inverter with Faster Cooling and Energy Saving, AI Convertible...",4.2,"₹42,990","₹78,990",45% off,"46,175 Ratings & 4,255 Reviews",Annual Power Usage: 744.75 kWhRoom Size: 111 - 150 sqft1 Year Manufacturing Warranty on Product,2
Lloyd 2026 Model 1.5 Ton 3 Star Split Inverter AC,4.1,"₹33,990","₹56,990",40% off,"20,599 Ratings & 2,180 Reviews","Annual Power Usage: 831.01 kWhRoom Size: 111 - 150 sqft1 Year Comprehensive Warranty on AC, 5 Year Warranty on Component and 10 Years Warranty on Compressor",2
"ONIDA 2025 Model 1.5 Ton 5 Star Split Inverter 5-in-1 Convertible, Energy Efficient, Deep frost Clean,...",4.2,"₹31,490","₹60,000",47% off,"7,142 Ratings & 843 Reviews","Annual Power Usage: 744.21 kWhRoom Size: 111 - 150 sqft1 Years Warranty On Product, 5 Years Warranty on Compressor",2
Godrej 2025 Model 1 Ton 3 Star Split Inverter 5-In-1-Convertible Cooling with Heavy Duty Cooling At Ex...,4,"₹26,490","₹38,600",31% off,"8,298 Ratings & 716 Reviews","Annual Power Usage: 1034 UnitsRoom Size: 90 sqft or Below5 Years Warranty on Whole Product (Valid on sales post 1 Sep 2024, warranty can be availed after registering on Brand website within 7 days of purchase) and 10 Years Warranty on Compressor",2
"CARRIER 2026 Model 1.5 Ton 3 Star Split AI Inverter Convertible 6-in-1 with Smart Energy Display, Inst...",4.2,"₹32,490","₹65,500",50% off,"38,222 Ratings & 4,626 Reviews","Annual Power Usage: 854.39 kWhRoom Size: 111 - 150 sqft1 Year Warranty on Product, 5 Years on PCB and 10 Years on the Compressor",2
"IFB 2025 Model 1.5 Ton 5 Star Split Inverter Silver Plus Series with HD Compressor, AI, Dual Gold Fin,...",4.2,"₹35,490","₹66,365",46% off,"15,363 Ratings & 1,538 Reviews","Annual Power Usage: 721.04 UnitsRoom Size: 111 - 150 sqft1 Year warranty on Product , 5 Years warranty on PCB and 10 Years Warranty on Compressor",2
Haier 2026 Model 1.5 Ton 3 Star Split Twin Inverter AC,4,"₹33,990","₹59,000",42% off,"6,315 Ratings & 597 Reviews",Annual Power Usage: 851.12 kWhRoom Size: 111 - 150 sqft5 years on the product and 12 years on the compressor (1-year warranty card in the box + 4-year promotional warranty auto activated post-installation).,2
MarQ by Flipkart 2025 Model 1 Ton 5 Star Split Inverter 5-in-1 Convertible with Turbo Cool Technology ...,4.2,"₹27,490","₹48,799",43% off,"3,041 Ratings & 379 Reviews",Annual Power Usage: 526.8 UnitsRoom Size: 90 sqft or Below1 Year Warranty on Product and 10 Years Warranty on Compressor,2
"Godrej 2025 Model 1.5 Ton 4 Star Split Inverter 5-In-1-Convertible Cooling, 4 Way Air Swing And Heavy ...",3.9,"₹30,990","₹46,000",32% off,"11,102 Ratings & 811 Reviews","Annual Power Usage: 835.07 UnitsRoom Size: 111 - 150 sqft5 Years Warranty on Whole Product (Valid on sales post 1 Sep 2024, warranty can be availed after registering on Brand website within 7 days of purchase) and 10 Years Warranty on Compressor",2
Whirlpool 2026 Model 1.5 Ton 3 Star Split Inverter AC,4.1,"₹32,240","₹57,150",43% off,"30,027 Ratings & 3,540 Reviews","Annual Power Usage: 858.22 kWhRoom Size: 111 - 150 sqft1 year warranty on product, 5 years  warranty on compressor",2
Samsung 2025 Model 1.5 Ton 5 Star Split Inverter with Wi-fi AC,4.2,"₹36,490","₹72,990",50% off,"26,515 Ratings & 2,683 Reviews",Annual Power Usage: 751.24 WRoom Size: 111 - 150 sqft5 Years Comprehensive Warranty on AC and 10 Years Warranty on Compressor,2
Whirlpool 2026 Model 1.5 Ton 3 Star Split Inverter AC,4.1,"₹32,240","₹57,150",43% off,"30,027 Ratings & 3,540 Reviews","Annual Power Usage: 858.22 kWhRoom Size: 111 - 150 sqft1 year warranty on product, 5 years  warranty on compressor",2
CARRIER 2026 Model 1.5 Ton 3 Star Split AI Inverter with Wi-fi Convertible 6-in-1 with Geo-Fencing & V...,4.2,"₹33,490","₹65,900",49% off,"38,222 Ratings & 4,626 Reviews","Annual Power Usage: 854.39 kWhRoom Size: 111 - 150 sqft1 Year Warranty on Product, 5 Years on PCB and 10 Years on the Compressor",2
"Samsung Bespoke AI 2026 Model 1.5 ton 4 Star Split Inverter with Wi-fi Energy Saving, Voice Control, P...",4.1,"₹38,990","₹82,990",53% off,"6,233 Ratings & 578 Reviews",Annual Power Usage: 713.57 kWhRoom Size: 111 - 150 sqft5 year comprehensive warranty on product and 10 years warranty on compressor,2
CARRIER 2026 Model 1.5 Ton 3 Star Split AI Inverter with Wi-fi Convertible 6-in-1 with Geo-Fencing & V...,4.2,"₹33,490","₹65,900",49% off,"38,222 Ratings & 4,626 Reviews","Annual Power Usage: 854.39 kWhRoom Size: 111 - 150 sqft1 Year Warranty on Product, 5 Years on PCB and 10 Years on the Compressor",2
Godrej 2025 Model 1 Ton 3 Star Split Inverter 5-In-1-Convertible Cooling with Heavy Duty Cooling At Ex...,4,"₹26,490","₹38,600",31% off,"8,298 Ratings & 716 Reviews","Annual Power Usage: 1034 UnitsRoom Size: 90 sqft or Below5 Years Warranty on Whole Product (Valid on sales post 1 Sep 2024, warranty can be availed after registering on Brand website within 7 days of purchase) and 10 Years Warranty on Compressor",2
MarQ by Flipkart 2025 Model 0.75 ton 3 Star Split Inverter 4-in-1 Convertible with Turbo Cool Technolo...,4.2,"₹19,990","₹42,799",53% off,"2,503 Ratings & 276 Reviews",Annual Power Usage: 553.16 UnitsRoom Size: 90 sqft or Below1 Year Warranty on Product and 10 Years Warranty on Compressor,2
MarQ by Flipkart 2025 Model 1.5 Ton 3 Star Split Inverter 4-in-1 Convertible with Turbo Cool Technolog...,4.2,"₹25,990","₹46,999",44% off,"49,936 Ratings & 6,373 Reviews",Annual Power Usage: 964.1 kWhRoom Size: 111 - 150 sqft1 Year on Product and 10 Years Warranty on Compressor,2
realme TechLife 2026 Model 1.5 Ton 5 Star Split Inverter with Wi-fi AC,4.2,"₹31,990","₹59,999",46% off,"4,506 Ratings & 594 Reviews",Room Size: 111 - 150 sqft1 Year warranty on Product and 10 Years Warranty on Compressor,2
LG 2025 Model 1.5 Ton 5 Star Split AI Dual Inverter AI Convertible 6-in-1 Split with Faster Cooling an...,4.2,"₹42,990","₹78,990",45% off,"46,175 Ratings & 4,255 Reviews","Annual Power Usage: 744.75 kWhRoom Size: 111 - 150 sqft1 Year Warranty on Product,5 year on Pcb and 10 Years Warranty on Compressor",2
Midea 2026 Model 1.5 Ton 3 Star Split AI Inverter with Wi-fi Convertible 6-in-1 with Turbo Mode for Fa...,4.3,"₹29,990","₹59,700",49% off,"18,604 Ratings & 2,838 Reviews","Annual Power Usage: 854.39 kWhRoom Size: 111 - 150 sqft5 Year Comprehensive Warranty On Product,10 Year Warranty On Compressor",2
Blue Star 2025 Model 1.5 Ton 3 Star Window Inverter AC,4.2,"₹31,290","₹41,400",24% off,"1,912 Ratings & 181 Reviews",Annual Power Usage: 1191.02 kWhRoom Size: 111 - 150 sqftWarranty of the Product is Limited to Manufacturing Defects Only,3
MarQ by Flipkart 2026 Model 2 Ton 3 Star Split Inverter 5-in-1 Convertible with Turbo Cool Technology ...,4.2,"₹35,990","₹63,999",43% off,"1,462 Ratings & 164 Reviews",Annual Power Usage: 1780 WRoom Size: 151 - 200 sqft1 year comprehensive warranty on product and 10 years warranty on compressor,3
Voltas 2026 Model 1.5 Ton 3 Star Split Inverter AC,4.2,"₹33,990","₹60,990",44% off,"83,437 Ratings & 7,067 Reviews","Annual Power Usage: 900.94 kWhRoom Size: 111 - 150 sqft1 Year Warranty On Product,10 Years Warranty On Compressor",3
"LG 2025 Model 1.5 Ton 5 Star Split Dual Inverter with Faster Cooling and Energy Saving, AI Convertible...",4.2,"₹42,990","₹78,990",45% off,"46,175 Ratings & 4,255 Reviews",Annual Power Usage: 744.75 kWhRoom Size: 111 - 150 sqft1 Year Manufacturing Warranty on Product,3
"LG 2025 Model 1.5 Ton 5 Star Split Dual Inverter with Faster Cooling and Energy Saving, AI Convertible...",4.2,"₹42,990","₹78,990",45% off,"46,175 Ratings & 4,255 Reviews",Annual Power Usage: 744.75 kWhRoom Size: 111 - 150 sqft1 Year Manufacturing Warranty on Product,3
"Samsung Bespoke AI 2026 Model 1.5 ton 3 Star Split Inverter with Wi-fi Energy Saving, Voice Control, P...",4.1,"₹36,490","₹78,990",53% off,"37,322 Ratings & 3,395 Reviews",Annual Power Usage: 847.65 kWhRoom Size: 111 - 150 sqft5 year comprehensive warranty on product and 10 years warranty on compressor,3
Blue Star 2026 Model 1 Ton 5 Star Split Inverter with Wi-fi AC,4,"₹37,990","₹62,000",38% off,"2,676 Ratings & 255 Reviews",Annual Power Usage: 495.16 kWhRoom Size: 90 sqft or Below60 months for those customers who purchase Blue Star Split ACs (Inverter or Fixed Speed SACs) of Tonnage up to 2 Tr from 16th February 2026 to 30th June 2026.,3
Lloyd 2026 Model 1 Ton 5 Star Split Inverter AC,4,"₹35,990","₹58,990",38% off,"1,286 Ratings & 110 Reviews","Annual Power Usage: 471.53 kWhRoom Size: 90 sqft or Below1 Year Comprehensive Warranty on AC, 5 Year Warranty on Component and 10 Years Warranty on Compressor",3
Godrej 2025 Model 1 Ton 3 Star Split Inverter 5-In-1-Convertible Cooling with Heavy Duty Cooling At Ex...,4,"₹26,490","₹38,600",31% off,"8,298 Ratings & 716 Reviews","Annual Power Usage: 1034 UnitsRoom Size: 90 sqft or Below5 Years Warranty on Whole Product (Valid on sales post 1 Sep 2024, warranty can be availed after registering on Brand website within 7 days of purchase) and 10 Years Warranty on Compressor",3
"CARRIER 2026 Model 1.5 Ton 3 Star Split AI Inverter Convertible 6-in-1 with Smart Energy Display, Inst...",4.2,"₹32,490","₹65,500",50% off,"38,222 Ratings & 4,626 Reviews","Annual Power Usage: 854.39 kWhRoom Size: 111 - 150 sqft1 Year Warranty on Product, 5 Years on PCB and 10 Years on the Compressor",3
MOTOROLA 2026 Model 2 Ton 3 Star Split Inverter with Wi-fi | Free Installation with 3-Year Comprehensi...,4.3,"₹38,990","₹70,999",45% off,494 Ratings & 84 Reviews,"Annual Power Usage: 1098.15 kWhRoom Size: 151 - 200 sqft3 Year on Product and 10 Years Warranty on Compressor

You additionally get the following benefits free of cost for the first 3 years:
-Gas recharge (maximum 2 times) and service basis requirement.

Please reach out to the brand for these benefits.",3
ONIDA 2025 Model 2 Ton 3 Star Split Inverter 5-in-1 Convertible Cooling with Four Way Swing AC,4.1,"₹35,990","₹66,290",45% off,"1,153 Ratings & 117 Reviews","Annual Power Usage: 1231.9 UnitsRoom Size: 151 - 200 sqft1 Years Warranty On Product, 5 Years Warranty on PCB, 10 Years Warranty on Compressor",3
Whirlpool 2026 Model 1.5 Ton 3 Star Split Inverter AC,4.1,"₹32,240","₹57,150",43% off,"30,027 Ratings & 3,540 Reviews","Annual Power Usage: 858.22 kWhRoom Size: 111 - 150 sqft1 year warranty on product, 5 years  warranty on compressor",3
Samsung 2025 Model 1.5 Ton 5 Star Split Inverter with Wi-fi AC,4.2,"₹36,490","₹72,990",50% off,"26,515 Ratings & 2,683 Reviews",Annual Power Usage: 751.24 WRoom Size: 111 - 150 sqft5 Years Comprehensive Warranty on AC and 10 Years Warranty on Compressor,3
Hisense 2026 Model 2 Ton 3 Star Split Inverter AC,3.8,"₹34,990","₹56,000",37% off,67 Ratings & 10 Reviews,"Annual Power Usage: 1073.79 kWhRoom Size: 151 - 200 sqft1 Year Comprehensive warranty on Product, 5 Year on PCB & 10 Year on Compressor",3
LG 2026 Model 1.5 Ton 5 Star Split Smart Inverter AC,4.2,"₹48,490","₹83,290",41% off,"46,175 Ratings & 4,255 Reviews","Annual Power Usage: 671.15 kWhRoom Size: 111 - 150 sqftManufacturer Warranty: 1 Year Comprehensive on Product, 5 Year on PCB and Motor & 10 Year on Compressor (Free Gas charging during comprehensive period only T&C Apply) To claim, present your original Proof of Purchase (invoice), model and serial number of the Product while requesting service. Visit https://www.lg.com/in/support for details Call on our customer care number 8069379999, WhatsApp : 9711709999 E-mail: serviceindia@lge.com",3
Voltas 2025 Model 2 Ton 3 Star Split Inverter AC,4.1,"₹43,990","₹74,990",41% off,"1,788 Ratings & 157 Reviews","Annual Power Usage: 1079.03 kWhRoom Size: 151 - 200 sqft1 Year Warranty On Product,10 Years Warranty On Compressor",3
Samsung 2026 Model 1.5 Ton 5 Star Split Inverter with Wi-fi AC,4.2,"₹48,000","₹87,990",45% off,"26,515 Ratings & 2,683 Reviews","Annual Power Usage: 636.71 kWhRoom Size: 111 - 150 sqftManufacturer warranty: 5 year comprehensive, 10 years on compressor (T&C Apply)",3
"Samsung Bespoke AI 2026 Model 1.5 ton 4 Star Split Inverter with Wi-fi Energy Saving, Voice Control, P...",4.1,"₹38,990","₹82,990",53% off,"6,233 Ratings & 578 Reviews",Annual Power Usage: 713.57 kWhRoom Size: 111 - 150 sqft5 year comprehensive warranty on product and 10 years warranty on compressor,3
CARRIER 2026 Model 1.5 Ton 3 Star Split AI Inverter with Wi-fi Convertible 6-in-1 with Geo-Fencing & V...,4.2,"₹33,490","₹65,900",49% off,"38,222 Ratings & 4,626 Reviews","Annual Power Usage: 854.39 kWhRoom Size: 111 - 150 sqft1 Year Warranty on Product, 5 Years on PCB and 10 Years on the Compressor",3
Voltas 2026 Model 1.5 Ton 3 Star Split Inverter AC,4.2,"₹33,990","₹60,990",44% off,"83,437 Ratings & 7,067 Reviews",Annual Power Usage: 900.94 kWhRoom Size: 111 - 150 sqft1 Year Warranty on Product + 10 Years on Inverter SAC Compressor,3
Godrej 2025 Model 1.4 Ton 3 Star Split Inverter 5-In-1-Convertible Cooling Heavy Duty Cooling At Extre...,3.9,"₹28,490","₹40,450",29% off,"3,150 Ratings & 247 Reviews","Annual Power Usage: 905.88 UnitsRoom Size: 111 - 150 sqft5 Years Warranty on Whole Product (Valid on sales post 1 Sep 2024, warranty can be availed after registering on Brand website within 7 days of purchase) and 10 Years Warranty on Compressor",3
LG 2025 Model 1.5 Ton 5 Star Split AI Dual Inverter AI Convertible 6-in-1 Split with Faster Cooling an...,4.2,"₹42,990","₹78,990",45% off,"46,175 Ratings & 4,255 Reviews","Annual Power Usage: 744.75 kWhRoom Size: 111 - 150 sqft1 Year Warranty on Product,5 year on Pcb and 10 Years Warranty on Compressor",3
Midea 2026 Model 1.5 Ton 3 Star Split AI Inverter with Wi-fi Convertible 6-in-1 with Turbo Mode for Fa...,4.3,"₹29,990","₹59,700",49% off,"18,604 Ratings & 2,838 Reviews","Annual Power Usage: 854.39 kWhRoom Size: 111 - 150 sqft5 Year Comprehensive Warranty On Product,10 Year Warranty On Compressor",3
"Godrej 2025 Model 1.5 Ton 5 Star Split Inverter AI Powered, 5-In-1 Convertible, Heavy Duty Cooling At ...",4,"₹38,500","₹51,500",25% off,"12,566 Ratings & 1,206 Reviews","Annual Power Usage: 736.46 kWhRoom Size: 111 - 150 sqft5 year warranty on whole product, 10 years warranty on compressor , Warranty can be availed after registering on Brand website within 7 days of purchase.",4
"LG 2026 Model 1.5 tons 3 Star Split Smart Inverter with Wi-fi Faster Cooling and Energy Saving, Energy...",4,"₹39,490","₹72,190",45% off,"43,160 Ratings & 4,010 Reviews","Annual Power Usage: 769.55 kWhRoom Size: 111 - 150 sqft1 Year Comprehensive warranty on Product, 5 Year warranty on PCB & Motor and 10 Year warranty on Compressor",4
Daikin 2024 Model 1 Ton 3 Star Split Inverter AC,4.1,"₹30,490","₹48,200",36% off,"4,844 Ratings & 409 Reviews",Annual Power Usage: 680.4 UnitsRoom Size: 90 sqft or Below1 Year Warranty on Product and  5 Years Warranty on PCB and 10 Years Warranty on Compressor,4
"Haier 2025 Model 1.5 Ton 5 Star Split Inverter Intelli-Convertible 7 in1 ConvertibleHD Filter, Frost S...",4,"₹37,900","₹65,300",41% off,"3,274 Ratings & 351 Reviews",Annual Power Usage: 714.29 UnitsRoom Size: 111 - 150 sqft5 years on the product and 12 years on the compressor (1-year warranty card in the box + 4-year promotional warranty auto activated post-installation).,4
Voltas 2026 Model 1.5 Ton 3 Star Split Inverter AC,4.2,"₹33,990","₹60,990",44% off,"83,437 Ratings & 7,067 Reviews","Annual Power Usage: 900.94 kWhRoom Size: 111 - 150 sqft1 Year Warranty On Product,10 Years Warranty On Compressor",4
"LG 2025 Model 1.5 Ton 5 Star Split Dual Inverter with Faster Cooling and Energy Saving, AI Convertible...",4.2,"₹42,990","₹78,990",45% off,"46,175 Ratings & 4,255 Reviews",Annual Power Usage: 744.75 kWhRoom Size: 111 - 150 sqft1 Year Manufacturing Warranty on Product,4
Whirlpool 2025 Model 1.5 Ton 5 Star Split Inverter AC,4.2,"₹37,500","₹71,990",47% off,"21,787 Ratings & 2,439 Reviews",Annual Power Usage: 778 kWhRoom Size: 111 - 150 sqft1 Year Comprehensive Warranty on  product,4
Blue Star 2025 Model 1 Ton 5 Star Split Inverter with Wi-fi AC,4,"₹37,990","₹59,200",35% off,"2,676 Ratings & 255 Reviews",Annual Power Usage: 517.83 kWhRoom Size: 90 sqft or Below60 months for those customers who purchase Blue Star Split ACs (Inverter or Fixed Speed SACs) of Tonnage up to 2 Tr from 16th February 2026 to 30th June 2026.,4
Godrej 2025 Model 1 Ton 3 Star Split Inverter 5-In-1-Convertible Cooling with Heavy Duty Cooling At Ex...,4,"₹26,490","₹38,600",31% off,"8,298 Ratings & 716 Reviews","Annual Power Usage: 1034 UnitsRoom Size: 90 sqft or Below5 Years Warranty on Whole Product (Valid on sales post 1 Sep 2024, warranty can be availed after registering on Brand website within 7 days of purchase) and 10 Years Warranty on Compressor",4
"CARRIER 2026 Model 1.5 Ton 3 Star Split AI Inverter Convertible 6-in-1 with Smart Energy Display, Inst...",4.2,"₹32,490","₹65,500",50% off,"38,222 Ratings & 4,626 Reviews","Annual Power Usage: 854.39 kWhRoom Size: 111 - 150 sqft1 Year Warranty on Product, 5 Years on PCB and 10 Years on the Compressor",4
Voltas 2025 Model 1.5 Ton 3 Star Split Inverter AC,4.2,"₹31,490","₹59,790",47% off,"83,437 Ratings & 7,067 Reviews","Annual Power Usage: 975.26 kWhRoom Size: 111 - 150 sqft5 years warranty from the date of installation, (Inverter or Fixed Speed SACs) of Tonnage up to 2.2 Tr (Offer valid till 31st May 2026). It is applicable only for residential usage and does not apply to commercial or National Accounts customers, 5 Years warranty on PCB, 10 Years on Inverter Compressor",4
"CARRIER 2026 Model 1.5 Ton 3 Star Split AI Inverter Convertible 6-in-1 with Smart Energy Display, Inst...",4.2,"₹32,490","₹65,500",50% off,"38,222 Ratings & 4,626 Reviews","Annual Power Usage: 854.39 kWhRoom Size: 111 - 150 sqft1 Year Warranty on Product, 5 Years on PCB and 10 Years on the Compressor",4
